,Nom et prénom,Numéro de téléphone,Service proposé,lowerplot
284,Joséphine Paris,0685739009,Agent de nettoyage de véhicules,agent nettoyage véhicules
285,William Valentin-Garnier,0620050564,Serveur à domicile,serveur domicile
286,Arthur Descamps,0684584165,animatrice de colonie de vacances,animatrice colonie vacances
287,Isaac Delmas,0630347402,opératrice de conditionnement,opératrice conditionnement
288,Louise Gomes,0615000140,Agent de sécurité événementiel,agent sécurité événementiel
289,Joseph Dupont,0693037358,hôte d'accueil en événementiel,hôte daccueil événementiel
290,Dominique Chartier,0695913218,conseillère en vente,conseillère vente
291,René Gros,0600186690,Mannequin cabine,mannequin cabine
292,Françoise Ramos du Fernandez,0613112286,Employé de rayon,employé rayon
293,Guy Dubois-Gomes,0656194766,Agent de contrôle qualité,agent contrôle qualité
294,Adrien Delahaye,0605260896,animatrice en maison de retraite,animatrice maison retraite
295,Léon Chauveau,0610292051,Agent de restauration collective,agent restauration collective
296,Michelle Leroux,0696151981,Employé de drive,employé drive
297,Aimée de la Costa,0664341608,cuisinière à domicile,cuisinière domicile
298,Luc Le Humbert,0604553420,Agent de tri postal,agent tri_postal
299,Antoine Joubert,0660260994,Agent de quai,agent quai
300,Andrée-Agathe Martel,0695422879,Démonstrateur de produits divers,démonstrateur produits diver
301,Vincent Guillet,0632637720,Agent de courrier,agent courrier
302,Alain Le Mercier,0608241216,Agent de maintenance,agent maintenance
303,Caroline Coste,0661664215,Guide pour tours de food-tasting dans une ville,guide tour foodtasting ville
304,Valérie du David,0678080719,Propriétaire de stand de limonade artisanale,propriétaire_stand limonade artisanale
305,Alphonse Martinez du Coulon,0670052418,Assistant pour événements musicaux,assistant événements musicaux
306,Madeleine Perrin,0609250092,Promeneur de chiens professionnels,promeneur chiens professionnels
307,Susanne Le Guillot,0628381329,Jardinier à domicile,jardinier domicile
308,Denis Fontaine,0638854756,Assistant personnel pour les tâches administratives,assistant personnel tâches_administratives
309,Mathilde Petitjean,0620489043,Tuteur en ligne pour les étudiants internationaux,tuteur ligne étudiants internationaux
310,Denis-Isaac Descamps,0633443172,Créateur de contenu pour les réseaux sociaux,créateur contenu réseaux_sociaux
311,André Lucas,0670294079,Designer de jardins verticaux pour les maisons et les bureaux,designer jardins verticaux maisons bureau
312,Juliette Jacquot,0697236592,Nettoyeur de piscines à domicile,nettoyeur piscines domicile
313,Olivier du Mace,0640512301,Fleuriste pour événements spéciaux,fleuriste événements spéciaux
314,Sébastien Perrot,0609509873,Assistant personnel de shopping,assistant personnel shopping
315,Noël Delahaye,0681905770,Vendeuse de bijoux artisanaux sur les marchés,vendeuse bijou artisanaux marchés
316,Guy Lombard-Fouquet,0630323831,Photographe pour événements de mariage,photographe événements mariage
317,Monique de la Carpentier,0630271576,Réparateur de vélos à domicile,réparateur vélos domicile
318,Julien Le Goff de Muller,0686014523,Propriétaire de stand de crêpes sur les marchés,propriétaire_stand crêpes marchés
319,Jules Munoz du Poirier,0641567121,Livreurr de nourriture en bicyclette,livreurr nourriture bicyclette
320,Jean Weber,0625762898,Organisateur d'événements pour enfants,organisateur dévénements enfants
321,Paul Leclercq du Mercier,0674710403,Guide touristique pour voyages d'aventure,guide touristique voyage daventure
322,Nicolas-Honoré Marie,0651905931,réparatrice d'appareils électroniques à domicile,réparatrice dappareils électroniques domicile
323,Alexandria Godard,0603230282,vendeuse de produits de beauté naturels,vendeuse produits beauté_naturels
324,Stéphanie Vidal-Pinto,0600405495,créatrice de cartes de vœux personnalisées,créatrice carte vœux personnalisées
325,Andrée Fabre,0692026900,Designer de tatouages temporaires,designer tatouages temporaires
326,Joséphine Le Roux-Simon,0629063531,professeure de musique à domicile,professeure musique domicile
327,Jérôme-Raymond Le Roux,0614210944,Propriétaire de stand de nourriture vegan sur les marchés,propriétaire_stand nourriture vegan marchés
328,Victor Carlier,0601686302,Assistant personnel pour les personnes âgées,assistant personnel personnes âgées
329,Jacques Joseph,0600822197,Vendeur de fruits et légumes biologiques,vendeur fruit légumes biologiques
330,Maurice Ollivier,0692136630,Coach en perte de poids et en nutrition,coach perte poids nutrition
331,Julien Bonnin,0698414666,professeure de yoga à domicile,professeure yoga domicile
332,Théodore du Martinez,0664521266,consultante en marketing numérique pour les petites entreprises,consultante marketing numérique petite entreprises
333,Nicolas du Didier,0615576745,Réparateur de meubles à domicile,réparateur meubles domicile
334,Renée Le Barthelemy,0668676871,Designer de bijoux personnalisés,designer bijou personnalisés
335,Margaret Collet,0677956540,Propriétaire de stand de smoothies sur les marchés,propriétaire_stand smoothy marchés
336,Agnès Le Renard,0665565062,Designer d'intérieur pour les petits espaces,designer dintérieur petits espaces
337,Christophe-Franck Carpentier,0622839763,Guide touristique pour voyages culturels,guide touristique voyage culturels
338,William Hoareau Le Perrin,0627406710,vendeuse de vêtements vintage,vendeuse vêtements vintage
339,Léon Devaux,0681509744,Coach de vie pour les personnes en transition de carrière,coach vie personnes transition carrière
340,Maryse Neveu,0658857440,Créateur de bougies artisanales,créateur bougies_artisanales
341,Charlotte Chevallier,0677879736,Propriétaire de stand de pop-corn sur les marchés,propriétaire_stand popcorn marchés
342,Grégoire du Besnard,0622665406,Designer de sacs à main personnalisés,designer sac_main personnalisés
343,Julien Chauvet,0654787877,Photographe pour événements sportifs,photographe événements sportifs
344,William Imbert,0633681756,Consultant en informatique pour les petites entreprises,consultant informatique petite entreprises
345,Valérie Launay-Auger,0600912203,Réparateur de bijoux tous genres,réparateur bijou tous genre
346,Édith Duhamel,0628908897,Créateur de contenu pour les blogs de voyage,créateur contenu blog voyage
347,Danielle Fleury,0607632945,Professeur de danse à domicile,professeur danse domicile
348,Luc Moreno,0663290041,Organisateur de fêtes privées ,organisateur fêtes_privées
349,Isaac Le Alves,0624987135,Propriétaire de stand de tacos sur les marchés,propriétaire_stand taco marchés
350,Julien Durand,0647461298,Designer de chaussures personnalisées,designer chaussures personnalisées
351,Manon de la Garnier,0661219547,Guide touristique pour voyages gastronomiques,guide touristique voyage gastronomiques
352,Isabelle du Lebon,0601673809,vendeuse de produits artisanaux,vendeuse produits artisanaux
353,Élise Gauthier de Loiseau,0613725378,Coach en développement,coach développement
354,Marine Auger,0648871100,Cours de mathématiques,cours mathématiques
355,Dorothée Parent,0656032078,Cours de physique,cours physique
356,Charlotte Delattre,0663599789,Cours de chimie,cours chimie
357,Thierry Hoareau,0609608989,Cours de biologie,cours biologie
358,Josette Gonzalez de la De Sousa,0608023170,Cours d'anglais,cours danglais
359,Marguerite Gilbert,0646319486,Cours de français,cours français
360,Patrick Vincent,0635971804,Cours d'espagnol,cours despagnol
361,Isaac Becker,0647209593,Cours d'allemand,cours dallemand
362,Agnès Mace,0676118704,Cours d'italien,cours ditalien
363,Odette Martin,0693356578,Cours de portugais,cours portugais
364,Julien Leger,0660647573,Cours de mandarin,cours mandarin
365,daisy Pereira,0688072245,Cours de japonais,cours japonais
366,Alexandre Lefort-Masson,0602179134,Cours de coréen,cours coréen
367,Célina-Margot Gros,0616241328,Cours de russe,cours russe
368,Nath Guillet,0634372641,Cours de programmation informatique,cours programmation informatique
369,Marine Schneider,0699383627,Cours de développement web,cours développement web
370,daisy Becker,0660250590,Cours de développement mobile,cours développement mobile
371,Bernard Barre,0680853832,Cours de design graphique,cours design graphique
372,Margaux De Oliveira,0699316062,Cours de dessin,cours dessin
373,Thibault Blanchard,0656548759,Cours de peinture,cours peinture
374,Bernard Rey,0650555547,"Cours de musique (piano, guitare, violon )",cours musique piano_guitare violon
375,Stéphane Didier de Bazin,0603499206,Cours de chant,cours chant
376,Laetitia Henry,0655481659,"Cours de danse (classique, jazz, hip-hop )",cours danse classique jazz hiphop
377,Corinne-Antoinette Martin,0665829834,Cours de yoga,cours yoga
378,Robert-Gilles Weber,0680856202,Cours de Pilates,cours pilates
379,Chantal Perrin,0622965715,Cours de méditation,cours méditation
380,Laetitia Voisin-Mathieu,0661115482,Cours de cuisine,cours cuisine
381,Aimée Le Bonnet,0686316966,Cours de pâtisserie,cours pâtisserie
382,Suzanne Payet,0628123803,Cours de photographie,cours photographie
383,Thibaut Ferreira,0624649973,Cours de vidéo et montage vidéo,cours vidéo montage vidéo
384,Éric Maillard,0669004714,Cours de théâtre,cours théâtre
385,Matthieu du Leclercq,0665044185,Cours d'écriture,cours décriture
386,Nicole Lefevre,0653831058,Cours de lecture rapide,cours lecture rapide
387,Patrick Diallo,0657340303,Cours de prise de parole en public,cours prise parole public
388,Martin Le Leclercq,0614126787,"Cours de préparation aux examens (SAT, ACT, GRE )",cours préparation_examen sat act gre
389,Juliette Gomes-Blanchard,0691911984,Cours de gestion du temps,cours gestion temp
390,Andrée-Amélie Leveque,0672275873,Cours de résolution de problèmes,cours résolution problèmes
391,Adèle du Ruiz,0663238554,Cours de leadership,cours leadership
392,Denis-Émile Parent,0656830377,Cours de gestion de projet,cours gestion projet
393,Honoré Guillou,0644466206,Cours de comptabilité,cours comptabilité
394,Marie de la Bouchet,0674290986,Cours de finance personnelle,cours finance personnelle
395,Georges Hamon Le Roger,0673342983,Cours de marketing,cours marketing
396,Alice Bruneau,0648529141,Cours de vente,cours vente
397,Gilles Marchand,0647597861,Cours de gestion des ressources humaines,cours gestion ressources_humaines
398,Victoire-Françoise Jacob,0622467842,Cours de droit,cours droit
399,Bernard Collin,0699104336,Cours de psychologie,cours psychologie
400,Léon Muller,0628221097,Cours de sociologie,cours sociologie
401,Raymond Roger de Fischer,0687021709,Cours d'histoire,cours dhistoire
402,Jacqueline Delattre,0654120684,Cours de philosophie,cours philosophie
403,Alphonse Auger de la Morel,0694987242,Cours de théologie,cours théologie
404,Étienne-Thomas Delorme,0649670799,Danse classique,danse classique
405,Sébastien De Sousa-Lebon,0610611931,Danse jazz,danse jazz
406,Jules Berthelot,0679258757,Danse contemporaine,danse contemporaine
407,Jules Dufour,0690440732,Danse hip-hop,danse hiphop
408,Célina Pasquier,0673771411,Breakdance,breakdance
409,Christophe Courtois,0661908138,Popping,popping
410,Marcel du Roussel,0653065372,Locking,locking
411,Robert Charrier-Marion,0641529823,Waacking,waacking
412,Christine de Fontaine,0676116133,Krump,krump
413,Alain Breton,0663164784,Voguing,voguing
414,Eugène Chretien,0630956415,Danse africaine,danse africaine
415,Louis Maillard,0642283500,"Danse latine (salsa, bachata, merengue )",danse latine salsa bachata merengue
416,Arthur Roche,0646295056,"Danse de salon (tango, valse, cha-cha )",danse salon tango valse chacha
417,Léon Faure,0604806906,Danse orientale,danse orientale
418,Augustin Ferreira,0624190349,"Danse indienne (bharatanatyam, kathak )",danse indienne bharatanatyam kathak
419,Olivie Chauveau-Gallet,0674873230,"Danse polynésienne (hula, tahitienne )",danse polynésienne hula tahitienne
420,Arthur Pruvost,0677275895,"Danse irlandaise (jig, reel )",danse irlandaise jig reel
421,Frédéric Grenier,0667193594,"Danse écossaise (ceilidh, highland )",danse écossaise ceilidh highland
422,Roland Leroy,0694621520,Danse folklorique,danse folklorique
423,Cécile Le Baron,0614905329,Danse du ventre,danse ventre
424,Amélie Meyer,0608781852,Piano,piano
425,Martin-Timothée Seguin,0607817606,Guitare (acoustique ou électrique),guitare acoustique électrique
426,Camille Chauvet-Hebert,0662079050,Batterie,batterie
427,Michelle-Camille Dupont,0604116320,Basse,basse
428,Édith Vincent,0674422077,Violon,violon
429,Marc Gregoire-Camus,0653751391,Alto,alto
430,Renée Le Perret,0690427219,Violoncelle,violoncelle
431,Augustin Charrier-Berger,0661592850,Contrebasse,contrebasse
432,Agathe-Margot Antoine,0636044767,Harpe,harpe
433,Alfred du Georges,0693841364,Flûte traversière,flûte traversière
434,Anne-Patricia Pinto,0645402093,Clarinette,clarinette
435,Gilles-Benoît Boucher,0692964292,"Saxophone (alto, ténor )",saxophone alto ténor
436,Éléonore Lebreton,0623708210,Trompette,trompette
437,Jacques Rossi,0605587741,Cor d'harmonie,cor dharmonie
438,Jules Olivier,0687356599,Trombone,trombone
439,Jeanne Lemoine,0604476903,Tuba,tuba
440,Michèle Caron,0603798941,"Percussions (congas, djembé )",percussions conga djembé
441,Chantal Paris,0652086239,"Chant (classique, pop, jazz )",chant classique pop jazz
442,Grégoire Marechal,0625144483,"Musique électronique (DJing, production )",musique électronique djing production
443,Adèle Poulain Le Gilles,0658089888,Composition musicale,composition musicale
444,Léon Jacquet-Henry,0627454650,Théorie musicale,théorie musicale
445,Adèle Techer,0640008094,Analyse musicale,analyse musicale
446,Dorothée Navarro,0670485747,Histoire de la musique,histoire musique
447,Geneviève Royer,0661521249,Direction d'orchestre,direction dorchestre
448,Michel Menard,0676346229,"Accompagnement musical (piano, guitare )",accompagnement musical piano_guitare
449,Valentine Didier,0619410537,Journaliste sans carte de presse,journaliste sans carte presse
450,Alexandre du Martinez,0634885860,Guide touristique sans diplôme,guide touristique sans diplôme
451,Hugues Gosselin,0606842297,Chanteur de rue amateur,chanteur rue amateur
452,Émilie Baron de Laurent,0647490941,Propriétaire de casino,propriétaire casino
453,Gabriel-Julien Allard,0614191734,Détective privé (licence périmée),détective privé licence périmée
454,Lucas Martel-Michaud,0622316399,Avocat radié,avocat radié
455,Emmanuel-Aimé Riviere,0644311809,Médecin sans certification,médecin sans certification
456,Anastasie Alexandre,0630320461,Organisateur de chasses au trésor professionnelles,organisateur chasse_trésor professionnelles
457,Dominique Lefort,0643158184,Styliste pour animaux de compagnie,styliste animaux_compagnie
458,Jean Pereira de Baron,0629971920,Chef de la technologie du sommeil,chef technologie sommeil
459,Christiane De Oliveira,0616298819,Coach en relaxation et gestion du stress,coach relaxation gestion stress
460,Yves Laporte,0618879118,Créateur de meubles en carton,créateur meubles carton
461,Élise Jacquet-Joubert,0623127848,Photographe de nourriture,photographe nourriture
462,Catherine Renard de la Benoit,0670597682,Art-thérapeute,artthérapeute
463,Arthur Bourgeois,0634334418,Concierge de mariage,concierge mariage
464,David Fabre,0650938014,Coach de voyage personnel,coach voyage personnel
465,Véronique Lebon de la Roger,0643681133,Designer de tatouages personnalisés,designer tatouages personnalisés
466,Martin Gomez du Jacques,0605427408,Fabricant de bijoux en résine,fabricant bijou résine
467,Claude Menard,0629810795,Expert en Feng Shui,expert feng shui
468,René de Lucas,0617249622,Spécialiste en design de lumières pour événements,spécialiste_design lumières événements
469,Aimée Salmon de Hebert,0644576584,Coach de confiance en soi,coach confiance_soi
470,Emmanuelle Perrot,0650570241,Consultant en marketing de médias sociaux,consultant marketing médias sociaux
471,Henriette Blondel,0600283174,Spécialiste en design de t-shirts personnalisés,spécialiste_design tshirts personnalisés
472,Alexandre du Moreno,0682924742,Concepteur de jeux vidéo,concepteur jeux vidéo
473,Roland-Thibault Meyer,0635221043,Artisan de fabrication de meubles en bois flotté,artisan_fabrication meubles bois flotté
474,Benjamin-Xavier Allain,0626482875,Expert en écriture de discours,expert écriture discours
475,Tristan Gros,0682988745,Styliste personnel,styliste personnel
476,Caroline Couturier,0627362151,Coach de cuisine,coach cuisine
477,Corinne Olivier,0633430909,Chef privé,chef privé
478,Daniel Nguyen-Chauvet,0613622460,Spécialiste en revêtements muraux en marbre,spécialiste revêtements muraux marbre
479,Luc Hernandez,0693503230,Designer de bouquets de mariée,designer bouquet mariée
480,William Henry,0642687834,Designer de luminaires en papier mâché,designer luminaires papier mâché
481,Jacques Baudry,0676152331,Entraîneur personnel de yoga,entraîneur personnel yoga
482,Isaac Renault,0604704574,Fabricant de cerfs-volants,fabricant cerfsvolants
483,Pénélope Maurice,0664114062,Photographe de voyage,photographe voyage
484,Bernard Blondel,0654534780,Coach de vie professionnelle,coach vie professionnelle
485,Xavier Vincent,0694570409,Experte en mariage alternatif,experte mariage alternatif
486,Adrienne-Audrey Bonnin,0619984803,Architecte de maisons écologiques,architecte maisons écologiques
487,Isaac Noel,0692378837,Spécialiste en réparation de guitares,spécialiste réparation guitares
488,Jacqueline Voisin-Boyer,0614660828,Designer de motifs de tissus,designer motif tissus
489,Philippe Thibault,0605340388,Conseiller en mode durable,conseiller mode_durable
490,Capucine-Michèle Martins,0673880710,Artiste du vitrail,artiste vitrail
491,Arthur Leroux-Maillard,0681735075,Producteur de podcasts,producteur podcasts
492,Marcel Thierry,0606304731,Coach de décoration d'intérieur,coach décoration dintérieur
493,André Mallet,0650774660,Consultant en organisation de garde-robe,consultant organisation garderobe
494,Victoire Bouvet,0623652639,Spécialiste en design de stands pour foires commerciales,spécialiste_design stand foires commerciales
495,Roland Collet-Turpin,0686774708,Coach de productivité,coach productivité
496,André de la Millet,0697976363,Spécialiste en design de logos,spécialiste_design logo
497,André Lopes-Bouvier,0685455575,Expert en création de parfums personnalisés,expert création parfums personnalisés
498,Alfred Pichon,0621856282,Designer de robes de soirée,designer robe soirée
499,Valérie Ferreira,0633664417,Écrivain de romans historiques,écrivain roman historiques
500,Véronique-Christelle Coste,0695876540,Styliste pour chevaux,styliste chevaux
501,Auguste Rousseau,0684002865,Chef de cuisine végétalienne,chef cuisine végétalienne
502,Corinne Thomas,0602282155,Spécialiste en design de pochettes d'albums,spécialiste_design pochettes dalbums
503,Sébastien-Martin Riviere,0603026215,Designer de couvertures de livres,designer couverture livres
504,Odette Fernandes-Vallee,0670433126,Coach de développement personnel,coach développement personnel
505,Théophile de Boutin,0664277504,Artiste en peinture sur corps,artiste peinture corp
506,Colette Lejeune,0656885102,Concepteur de planchers de danse interactifs,concepteur planchers danse interactifs
507,Julie Godard,0667494888,Créateur de poterie en céramique,créateur poterie céramique
508,Alain Coulon,0662303776,Spécialiste en design d'emballages,spécialiste_design demballages
509,Manon Joseph,0616643540,Coach en nutrition,coach nutrition
510,Michelle Marie,0617622105,Consultant en sécurité informatique,consultant sécurité informatique
511,Andrée de Gautier,0637206697,Photographe animalier,photographe animalier
512,Adrien Le Goff,0679369571,Expert en réparation de vélos électriques,expert réparation vélos électriques
513,Danielle Gaudin,0650561489,Styliste de meubles d'extérieur,styliste meubles dextérieur
514,Gabriel Renaud,0621203922,Designer de costumes de théâtre,designer costume_théâtre
515,Sébastien Texier,0679697529,Coach d'écriture créative,coach décriture créative
516,Olivier Lebon de la Thibault,0694988180,Écrivain de guides touristiques,écrivain guide touristiques
517,Gabrielle Renault,0644180410,Spécialiste en design de sites web,spécialiste_design site web
518,Adélaïde Marechal,0609311747,Consultant en gestion des médias,consultant gestion médias
519,Michelle Monnier,0690961038,Créateur de sculptures en fil de fer,créateur sculpture_fil fer
520,Joseph Gilbert,0635241750,Designer de sacs à main en cuir,designer sac_main cuir
521,Catherine Coste,0687655829,Coach de photographie,coach photographie
522,Dorothée Guilbert-Muller,0655195187,Expert en réparation d'instruments à vent,expert réparation dinstruments vent
523,Daniel Collin,0603098369,Créateur de bijoux en dentelle de métal,créateur bijou dentelle métal
524,Christelle Leblanc,0685871980,Artiste en peinture à l'huile sur toile,artiste peinture lhuile toile
525,Grégoire Salmon de Prevost,0670361756,Photographe de portraits pour animaux,photographe portrait animaux
526,Rémy Garnier de Brun,0691362189,Compteur de grains de sable,compteur grain sable
527,Timothée Hamon,0690167289,Livreur de journaux,livreur journaux
528,Thomas Fernandes,0604667662,Distributeur de flyers,distributeur_flyer
529,Nath Julien de la Maurice,0642523025,Employé de fast-food,employé fastfood
530,Thibault-Nicolas Grenier,0678874223,Baby-sitter,babysitter
531,Guy Masson,0641732890,Caissier dans un supermarché,caissier supermarché
532,Sébastien Bouchet,0654033516,Employé de station-service,employé stationservice
533,Valérie Nguyen,0653623452,Animateur  en centre de loisirs,animateur centre loisirs
534,André Le Dupre,0684087526,Serveur dans un restaurant,serveur restaurant
535,Éric Lucas-Joubert,0628329721,"Entretien, ménage de votre intérieur",entretien ménage intérieur
536,Margaud Chretien,0644990314,Agent d'entretien,agent dentretien
537,David Valentin,0632302968,Gardien  d'enfants à domicile,gardien denfants domicile
538,Gabriel Chretien,0676331812,Guide touristique,guide touristique
539,Michelle-Henriette Ruiz,0654470790,Coursier,coursier
540,Charlotte Henry,0626346860,Agent de surveillance,agent surveillance
541,Alphonse Roger,0649441159,Commis de cuisine,commis cuisine
542,Jean Delaunay,0690810637,"Second commis de cuisine, expérience en restaurants",second commis cuisine expérience restaurant
543,Matthieu Lebreton-Martineau,0609563534,Opérateur  de saisie,opérateur_saisie
544,Océane Allard,0690644917,Agent de tri postal,agent tri_postal
545,Bernard Grenier,0601363894,Hôte(sse) d'accueil,hôtesse daccueil
546,Colette Gautier-Roussel,0671485545,Vendeur  en magasin,vendeur magasin
547,Antoinette Lopez,0602667022,Agent de nettoyage,agent nettoyage
548,Laurence Voisin,0659452643,Employé de pressing,employé_pressing
549,Jeanne Jean-Weber,0690774856,Préparateur  de commandes,préparateur_commandes
550,Théophile Maillot,0691292931,Agent de service clientèle,agent service clientèle
551,Patrick Martin,0615014407,Distributeur  de prospectus,distributeur prospectus
552,Pénélope Legendre du Pichon,0683053107,Agent de caisse,agent caisse
553,Julien Herve,0668793677,Agent d'exploitation,agent dexploitation
554,Marcel Lamy-Gregoire,0635960457,Livreur  de pizzas,livreur pizza
555,Michel Delattre,0636897184,Aide-soignante,aidesoignante
556,Honoré Prevost,0612567241,Serveur dans un café,serveur café
557,Hugues Girard,0616218973,Assistant administratif,assistant administratif
558,Jean Navarro,0648275699,Caissier dans un cinéma,caissier cinéma
559,Manon Mary-Perret,0680226199,Agent d'entretien dans les hôtels,agent dentretien hôtels
560,Laurence-Suzanne Gerard,0686450479,Préparateur  de sandwichs,préparateur sandwich
561,Adélaïde du Maillard,0660824059,Réceptionniste,réceptionniste
562,Josette Fournier,0660760845,Employé de rayon dans un supermarché,employé rayon supermarché
563,Lucy Martin,0601656535,"J'ai travaillé dans une clinique vétérinaire, je veux soigner les petits bobos de vos animaux",jai travaillé clinique vétérinaire veux soigner petits bobos animaux
564,Jeannine Masson,0639657488,Employé de la poste,employé poste
565,Joséphine Levy-Collin,0675624280,Arrosage de votre jardin potager,arrosage jardin potager
566,Jacques Andre-Lebon,0600920880,Opérateur  de production,opérateur production
567,Jean Tanguy,0606736297,Garçon  de café,garçon café
568,Arnaude Le Maury,0656252157,Agent de sécurité,agent sécurité
569,Océane Bousquet,0636039760,Conducteur  de chariot élévateur,conducteur chariot élévateur
570,Émilie Bigot,0618195102,Nettoyage à domicile pour personnes âgées,nettoyage domicile personnes âgées
571,Gérard Pereira-Riviere,0675102747,Employé de pressing,employé_pressing
572,Thibaut Maury-Da Costa,0687285924,Agent de maintenance,agent maintenance
573,Andrée Lelievre Le Schneider,0644917575,Déménageur,déménageur
574,Élisabeth Labbe du Collet,0619809965,Manutentionnaire,manutentionnaire
575,Franck Riviere,0621006450,Opérateur  sur machine,opérateur machine
576,Jean Normand,0667345691,Agent d'accueil en centre commercial,agent daccueil centre commercial
577,Margot Lagarde,0683752221,Présence et aide pour personnes âgées,présence aide personnes âgées
578,Anastasie Blanc,0655581232,Garde d'enfants,garde denfants
579,Brigitte Fournier,0627546169,Cours particuliers,cours particuliers
580,Édouard Le Blondel,0615651635,Assistance informatique,assistance informatique
581,Édouard Daniel,0678635215,"Je peux faire les devoirs avec vos enfants, les surveiller",peux faire devoir enfants surveiller
582,Daniel Ledoux,0603077872,Soutien scolaire,soutien scolaire
583,Roland Foucher-Tessier,0656379279,Préparation de repas,préparation repas
584,Roland Marie,0658274332,"Spectacles de danse et autres : décors, musique",spectacles danse autres décors musique
585,Thomas Picard,0625877458,Rangement et organisation de votre habitation,rangement organisation habitation
586,Yves Lebon du Fontaine,0646035262,Garde d'animaux de compagnie,garde danimaux compagnie
587,Julien Dumas,0686074812,Jardinage,jardinage
588,Alix Salmon,0675505558,Nettoyage de la maison,nettoyage maison
589,Luce Roche de Charles,0684212264,Repassage,repassage
590,Océane Paris,0624815852,Couture,couture
591,daisy Lelievre de Noel,0618611935,Réparation de vélos,réparation vélos
592,Alix Marechal,0681224908,Ménage,ménage
593,Joséphine-Alexandrie Berthelot,0646849509,Assistance administrative,assistance administrative
594,Gabriel de Lambert,0634940581, Assistance à la mobilité,assistance mobilité
595,Manon Masson,0611541966,coach sportif,coach sportif
596,Xavier-Laurent Lesage,0681823505,Garde de nuit,garde nuit
597,Océane Martinez,0635933100,Cours de langue,cours langue
598,Maurice-Christophe Guillot,0638784856,Garde de jour,garde jour
599,Christophe Marchand,0645095492,Mise en place de programmes pour personnes en situation de handicap,mise_place programme personnes situation_handicap
600,Alexandre-Bertrand Lebrun,0691728624, la lecture,lecture
601,Dominique Petitjean,0613896143,Entretien du jardin,entretien jardin
602,Alice Andre,0689682798,Coiffure à domicile,coiffure domicile
603,Jules Le Rey,0667172224,Massage à domicile,massage domicile
604,Astrid Barbe,0667318260,Réparation de petits appareils électroménagers,réparation petits appareils_électroménagers
605,Susanne Cohen,0641120746,Livraison de courses à domicile,livraison course domicile
606,Emmanuel Gerard,0628934260,Assistance à la prise de médicaments,assistance prise_médicaments
607,Yves Lucas,0602129446,Conseils en nutrition,conseils nutrition
608,Marcelle Reynaud,0640349563,Cours de musique,cours musique
609,Thomas Lejeune,0666050933,Promenade de chiens,promenade_chiens
610,David Lopes-Barre,0603235949,Préparation de colis pour expédition,préparation colis expédition
611,Christophe Giraud,0690347697, Rédaction de CV et lettres de motivation,rédaction_cv lettres_motivation
612,Matthieu Jean,0699878305,Réparation de petits meubles,réparation petits meubles
613,Michelle Da Costa,0654317663,Dépannage informatique,dépannage_informatique
614,Nath Fleury,0642036421,Réalisation de petits travaux de bricolage,réalisation petits travaux bricolage
615,Adèle Wagner,0681995448,Déménagement et poids-lourd : je peux soulever cent kilos,déménagement poidslourd peux soulever cent kilo
616,Honoré Bodin,0657528658,Désherbage de jardin,désherbage jardin
617,Théodore Masson,0614391820,Livraison de médicaments à domicile,livraison médicaments domicile
618,Diane Hamel,0658513886, la recherche d'emploi,recherche demploi
619,Théodore Leveque,0675958850,Organisation d'événements privés,organisation dévénements privés
620,Cécile Lamy,0629240023,Assistance juridique,assistance juridique
621,Daniel Leroy-Besnard,0630815323,Démarches administratives à domicile,démarches administratives domicile
622,Laure-Julie Camus,0602039622,Repas de fête à domicile,repas fête domicile
623,Marguerite Gomez,0699687019,coach de vie,coach vie
624,Renée Rocher,0682415902,Nettoyage de vitres,nettoyage_vitres
625,Édouard Allard,0601136895, Rédaction de courriers administratifs,rédaction courriers_administratifs
626,Nath-Michèle Regnier,0667416047,Séances de relaxation et de bien-être à domicile,séances_relaxation bienêtre domicile
627,Richard Ruiz-Guyot,0637551398,Garde d'enfants,garde denfants
628,Jeannine de Hoareau,0680060425,Cours particuliers,cours particuliers
629,Aimé Poirier,0674094849,coach personnel,coach personnel
630,Charlotte Courtois,0686829063,Assistance administrative,assistance administrative
631,Hugues Pineau-Jean,0687119227,Conseils en nutrition,conseils nutrition
632,Thomas Arnaud,0634524553,Organisation d'événements privés,organisation dévénements privés
633,Raymond Bertin du Gerard,0688202272,Livraison de courses à domicile,livraison course domicile
634,Astrid Duval,0664685039,Préparation de repas à domicile,préparation repas domicile
635,Victor Rodriguez,0613613898,Entretien du domicile,entretien domicile
636,Honoré du Thomas,0674202770,Coiffure à domicile,coiffure domicile
637,Andrée Da Costa,0649474776,Massage à domicile,massage domicile
638,Constance Rocher,0676756325,Garde d'animaux de compagnie,garde danimaux compagnie
639,Charles Moreau-Reynaud,0697340626,Réalisation de petits travaux de bricolage,réalisation petits travaux bricolage
640,Suzanne Germain,0697049580,Accompagnement à des sorties culturelles,accompagnement sortie culturelles
641,Stéphane Maillot,0613420088,Conseils en gestion du temps,conseils gestion temp
642,Andrée du Legrand,0631884567,Cours de langue,cours langue
643,Lorraine Le Petit,0625152649,Garde de nuit,garde nuit
644,Suzanne Lacombe,0639559838,Garde de jour,garde jour
645,Arthur Simon,0696562777,coach sportif,coach sportif
646,Frédérique Voisin de la Maillard,0680373722,Promenade de chiens,promenade_chiens
